name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",17450986,40.082,40.0814,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",14300614,48.9691,48.9689,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",13016046,53.856,53.8546,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",13136868,53.3531,53.3521,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",11808346,59.1925,59.1908,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",11626032,60.0403,60.04,ns,1.33244e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",11479089,61.0733,61.0727,ns,2.61983e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",11472499,61.5004,61.4991,ns,3.9025e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",11249538,62.2404,62.2396,ns,5.14143e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",11109588,62.7483,62.7477,ns,6.37473e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",10991376,63.4211,63.4208,ns,7.5685e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",10996522,63.3269,63.3252,ns,8.84324e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",10828801,64.6806,64.6798,ns,9.89489e+08,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",2755056,244.688,244.685,ns,2.61561e+08,,,,
