noop,ycall-registration-minimal,ycall-deregistration-minimal,fork-simple,fork-ycall,vfork-simple,vfork-ycall
30,7134,7590,43518,46317,11177,14360
40,6803,8511,41180,44175,11945,11041
30,6911,7624,37664,43189,11710,11016
30,6646,7713,45472,48539,12044,11597
29,6927,7895,39723,43750,11554,13938
29,6056,7626,37568,41984,11436,14339
30,7507,7721,40661,45360,11162,11217
29,6883,7638,37963,47980,11338,11051
30,7003,7643,38441,45158,12099,15044
29,6453,7632,37738,42683,11386,10786
30,6795,7701,41754,47681,16753,11133
30,6704,7772,37477,43434,13079,11133
29,6622,7654,39489,43526,13319,16536
29,6858,7681,37561,47544,14491,10609
29,6573,7540,40100,42695,13507,11025
29,6870,7698,38644,44019,12254,12500
29,7127,7617,39162,47391,12660,15015
30,6446,7722,38597,42924,12574,11417
29,6938,7711,40347,43016,12888,11512
30,6580,7668,37963,44764,12001,11134
29,6697,7667,39451,46867,11774,17526
29,6803,7647,41030,44392,11111,11100
29,6779,7730,37971,43240,11796,10953
29,6826,7677,37162,46735,11827,11319
30,6865,7768,40406,43147,11598,15528
29,6323,7701,41173,42652,16035,12160
30,6712,7624,38004,46744,13722,12386
29,6572,7726,37337,43633,13907,10794
29,5724,7581,40664,47572,12296,15853
30,7751,7641,41835,42869,12495,12618
30,6412,7802,39165,48789,13012,12389
29,5846,7651,37284,44118,12405,12547
29,7881,7556,42840,42856,12431,16668
30,6611,7604,36560,47163,12328,12684
29,6757,7639,37400,43564,12147,11879
30,6294,7639,37543,43928,11566,12207
30,6867,7583,43781,48826,11446,14122
29,6853,7838,39244,44896,11433,10857
28,6466,7637,36602,43726,11393,10888
30,6855,7686,37567,46981,11701,11576
29,6790,7724,42835,42150,12351,16313
30,6501,7570,37571,42562,17630,12134
29,6977,7659,37411,42499,12621,12428
30,6597,7567,39635,45929,12415,11992
29,6773,7649,40140,42107,12573,15513
29,6877,7672,38076,44768,13050,12709
30,6525,7638,38218,46415,12742,11707
29,6677,7641,41205,42603,12426,11656
30,6675,7620,39387,41391,12522,15199
30,6307,7652,37176,45269,12471,11866
29,6705,7730,36636,43682,13387,12028
29,8383,7593,43351,43723,11497,14757
29,6696,7641,40642,42953,12046,15022
30,7036,7633,37995,44229,11901,12167
29,5547,7694,40608,46192,11437,14108
29,7255,7600,38310,51217,14928,11842
30,5970,7612,40021,45221,15417,15003
29,7642,7621,37054,42132,12897,18209
30,6811,7735,39150,42722,11971,11297
29,6325,7622,37444,46305,12562,12550
30,6713,7517,38578,43801,13597,16088
29,6745,7760,40239,42463,12211,11267
29,5478,7594,41632,42773,13346,11510
30,7040,7674,37595,46203,13540,11974
30,7305,7628,38983,43185,10982,15696
29,6380,7551,36976,41710,11758,11827
30,5891,7661,40946,47472,11209,12531
30,7298,7666,37363,42709,11997,10955
29,6594,7636,39514,42773,12128,17492
29,6789,7659,40451,45595,15219,11286
29,5495,7683,37045,42709,12327,11186
30,7561,7718,38446,42561,12798,11840
29,6948,7606,39630,43242,16154,14788
30,6425,7702,40672,46184,12382,11871
29,6656,7717,36878,42893,12833,11605
29,6668,7728,40864,42299,12495,11707
29,6756,7629,42537,47066,13294,14163
30,6927,7656,42965,41815,12113,11526
29,6365,7641,38865,41193,12614,11935
29,6834,7747,37113,46184,13081,12317
30,6709,7703,45048,44541,12296,14208
30,6558,7605,38040,42305,12027,12072
29,7022,7694,36989,45638,13343,16211
29,6317,7758,36916,50685,13827,12356
30,6999,7677,43898,44657,12076,14459
30,6684,7710,37231,43075,11657,15370
29,6334,7580,37269,47736,11358,12407
29,6606,7627,37518,45819,12906,12964
30,6912,7877,42546,47336,16863,15155
29,6387,7582,38955,46299,13391,14122
30,6537,7607,39202,44607,13131,12799
29,6370,7638,40976,43945,13094,11708
30,6678,7689,39706,47637,13665,14323
29,6642,7715,37692,45119,12368,11782
30,6224,7624,36737,43068,12731,11884
29,7123,7567,40898,46272,12319,11702
30,6767,7727,37822,49422,12475,18041
29,6547,7681,37546,43201,14629,13664
29,6818,7627,37633,43276,13614,10918
30,6457,7626,41242,46086,12755,10618
30,5843,7618,38154,43782,12619,14034
30,6604,7710,39109,42997,12753,10636
29,7908,7868,38302,47405,12762,10554
30,6733,7830,40704,45665,16603,11538
29,6956,7741,37213,42974,13085,13483
30,6573,7663,37752,43343,12664,10613
30,6694,7679,40364,46193,12524,10710
29,6395,7749,37590,42759,12707,11059
29,6855,7697,37793,45657,12742,15594
30,6719,7706,37265,53130,14464,11951
29,6627,7698,40740,43581,13832,13521
29,6848,7591,38065,43896,14463,11778
30,6569,7679,38097,45961,13183,14587
30,6671,7747,38227,42205,12558,17721
30,8533,7627,41483,42202,13963,11220
30,5551,7645,37815,42127,13039,12373
29,7702,7664,37381,46120,13155,12603
30,6817,7704,43113,42943,12099,13698
29,6527,7600,40590,42721,11847,12101
30,6878,7736,39140,45597,16453,12098
30,6824,7835,37357,42321,12406,11631
30,6695,7701,41565,42025,12181,14242
29,6812,7715,36696,45589,12239,12323
29,6341,7856,37993,44298,12163,12163
29,6808,7581,37548,43468,13306,13915
29,6455,7772,41409,41782,13958,12431
29,6498,7727,37762,46160,12010,11874
30,6965,7664,38053,42971,12144,11767
29,6715,7724,41759,44454,13383,17990
30,6449,7842,37452,46937,12429,11893
29,5871,7596,37766,42906,12833,11566
29,7074,7627,37946,43057,12505,12682
29,5896,7613,42992,45989,12596,14777
29,7226,7639,37540,41673,12917,12929
29,5614,7723,37380,41784,16870,12524
30,7788,7616,37591,47282,13059,12071
29,6646,7694,43637,44998,13247,14714
29,6555,7653,38222,41601,12423,12491
29,6685,7582,39654,43124,12763,14335
29,6432,7738,39153,46690,14752,12132
29,6697,7593,42480,42614,13175,16439
29,6632,7584,42227,42084,12561,14511
29,6385,7677,39649,47482,12274,11086
29,6674,7693,41049,42256,12940,12080
29,6770,7608,39530,42233,12389,16609
30,5667,7663,38119,45357,12307,11588
29,7099,7678,38522,44286,14174,11581
30,6368,7651,42471,41581,12408,11482
