noop,vdso,syscall,ioctl
248,258,458,495
248,329,525,1651
227,248,439,568
227,234,433,507
229,237,432,495
228,235,432,497
228,235,432,492
227,235,433,483
227,236,433,485
227,235,432,484
229,236,432,472
227,235,431,476
227,235,432,477
228,236,431,481
227,235,432,487
227,237,432,498
229,235,431,478
227,235,451,477
227,235,431,477
227,235,431,482
227,235,431,474
227,237,431,477
227,235,431,474
227,235,432,480
227,236,431,477
230,235,431,475
227,235,430,477
227,236,431,478
228,237,431,474
227,235,431,474
227,235,431,480
227,235,430,477
227,235,431,471
227,237,431,473
229,235,431,474
227,235,430,478
227,235,432,475
228,235,430,474
227,237,431,493
227,235,432,476
228,235,431,474
227,237,431,497
229,236,431,493
227,235,430,502
227,236,432,491
229,235,432,472
228,236,431,474
227,235,432,472
227,235,431,469
228,235,430,468
229,235,431,469
227,235,431,469
229,235,431,469
227,235,431,469
229,235,431,474
228,235,431,471
229,235,431,501
228,237,431,484
228,235,431,501
227,235,432,470
228,236,432,472
227,235,431,468
228,237,432,494
227,235,431,489
229,235,431,507
227,236,431,477
229,235,431,478
227,235,431,474
227,235,431,496
227,235,431,481
228,235,431,485
228,236,431,488
227,235,431,475
227,236,431,471
227,235,431,475
227,237,431,472
228,235,431,477
227,235,432,478
228,236,432,472
227,237,431,479
228,235,432,470
227,235,432,470
228,235,431,496
227,235,431,483
227,235,431,490
228,236,431,500
227,235,430,478
228,236,433,485
227,235,431,486
227,237,431,475
227,235,430,473
227,237,431,490
227,235,431,496
227,236,430,481
229,235,431,498
227,235,431,501
228,235,431,507
228,237,432,478
227,235,431,474
229,235,432,477
227,235,432,495
227,235,432,508
228,236,431,499
227,235,430,481
227,237,431,478
228,237,430,478
229,235,431,472
227,235,432,468
229,235,432,468
228,235,431,468
227,235,431,476
228,237,432,470
228,235,432,493
229,237,431,480
227,235,432,507
230,235,431,490
227,235,430,492
228,235,431,475
228,237,431,479
227,235,433,492
227,237,432,497
228,237,433,483
227,235,431,497
228,235,431,511
228,235,432,504
227,235,431,482
227,235,431,483
228,235,431,481
227,237,432,473
228,235,429,475
227,240,430,471
227,235,430,473
227,236,431,475
228,235,431,497
228,237,433,494
227,235,432,478
228,235,430,474
227,235,431,471
227,235,431,474
228,237,430,470
227,237,432,473
228,235,430,476
228,235,431,471
227,235,431,470
229,236,431,472
227,235,431,474
227,236,431,478
227,235,430,474
227,236,431,475
227,235,431,474
227,236,432,476
229,235,431,470
227,236,432,474
228,235,430,474
227,236,431,474
227,235,431,476
227,236,430,476
227,235,431,474
229,235,431,469
228,237,432,468
227,235,432,470
227,235,430,471
228,237,431,473
229,237,431,474
227,237,431,475
229,235,431,475
227,236,430,475
227,237,431,476
229,235,431,476
228,235,431,468
227,235,431,473
229,235,430,474
227,237,431,473
227,235,431,474
229,237,431,468
227,235,430,469
227,236,431,473
229,235,431,468
228,237,431,471
227,235,431,470
229,236,431,471
228,235,432,470
227,237,430,471
229,235,431,477
228,235,430,468
227,235,431,473
228,235,430,472
227,235,431,509
229,235,432,479
227,235,431,512
227,237,431,494
227,235,430,496
228,236,431,495
228,235,431,488
228,235,431,515
227,236,431,489
228,235,431,481
227,235,432,474
228,237,432,478
228,235,430,487
229,235,431,504
228,235,432,487
228,237,431,504
227,237,430,486
229,237,451,479
229,235,431,476
227,235,431,486
228,235,431,503
228,235,446,491
227,236,445,477
229,237,435,478
228,235,434,489
227,237,437,496
228,252,438,496
229,235,431,490
227,235,431,499
227,235,431,496
228,255,431,479
227,255,431,484
227,237,456,538
229,235,431,503
227,235,431,476
227,235,449,479
228,235,438,498
227,237,431,507
229,235,431,497
228,235,431,502
229,236,434,505
227,235,428,492
227,250,464,488
228,235,454,505
228,255,454,504
228,255,438,476
228,239,431,483
227,255,428,507
227,235,451,504
227,235,454,498
228,235,430,497
228,235,430,644
227,236,446,488
228,235,446,486
227,235,576,491
227,235,431,489
229,237,431,513
227,236,437,511
227,235,446,687
227,235,430,493
228,235,446,490
227,236,433,488
230,235,462,503
230,255,431,494
227,250,451,493
227,255,436,503
227,250,453,506
227,255,432,484
228,235,432,477
227,235,431,498
227,235,431,486
227,235,431,483
227,235,431,500
227,252,430,481
228,235,434,506
228,252,437,484
227,252,438,511
228,236,454,482
228,235,451,489
227,236,436,486
227,255,436,481
228,237,437,503
228,235,461,483
227,265,445,487
231,255,444,487
228,254,448,489
227,252,432,489
227,235,431,483
227,235,431,477
228,237,432,499
227,237,432,478
227,252,431,493
227,235,445,503
227,255,429,478
227,255,444,487
230,252,453,511
228,251,431,475
227,254,447,505
227,255,457,505
228,235,472,484
227,235,458,483
228,235,438,488
227,255,431,486
229,254,439,510
229,240,443,510
231,255,436,503
227,235,456,512
230,255,441,503
228,242,458,489
228,255,443,485
228,237,456,509
230,237,437,487
228,241,430,497
227,257,430,491
230,265,463,476
227,235,429,473
230,255,447,500
227,255,430,485
227,255,454,502
228,252,431,502
227,240,432,500
227,255,445,500
228,235,431,484
228,235,429,492
227,235,447,487
228,255,434,494
229,255,446,497
229,254,465,484
230,235,447,484
231,235,458,496
229,235,430,488
228,235,432,488
228,235,431,485
227,255,432,495
228,255,438,493
228,255,450,506
227,252,447,504
229,252,431,504
228,235,432,503
227,237,431,497
229,255,431,681
231,249,430,488
229,255,432,483
228,252,431,480
228,252,431,477
227,251,431,478
227,236,445,478
228,235,432,477
227,235,463,478
228,255,443,479
227,255,458,498
227,235,432,480
228,235,432,489
228,235,436,504
229,235,462,508
228,235,442,614
228,235,431,502
227,255,431,483
229,255,430,479
227,253,433,506
227,255,451,504
228,255,431,486
228,252,431,507
227,251,433,695
228,251,453,511
227,255,445,494
227,255,446,500
228,251,449,515
227,252,434,513
227,255,468,501
227,255,453,511
227,240,441,484
227,255,432,491
228,255,430,485
229,235,450,500
228,235,431,502
227,237,446,500
230,251,446,482
227,255,460,497
228,237,443,489
230,237,458,512
227,235,431,484
228,237,432,480
227,256,430,482
227,255,454,480
227,255,463,495
228,255,452,512
227,240,433,492
227,236,443,479
228,237,446,486
227,255,431,496
229,255,432,500
227,252,430,513
227,255,447,511
228,251,432,489
228,255,458,482
227,235,430,506
228,237,432,508
230,255,431,487
229,237,459,499
227,235,430,502
228,236,431,484
227,235,432,479
227,235,446,476
228,235,431,499
227,235,464,483
227,237,447,505
228,235,430,495
229,235,432,512
229,237,455,487
228,235,446,478
227,235,431,481
228,237,431,503
228,255,458,510
227,255,447,513
230,255,466,496
227,255,479,504
227,255,435,483
228,240,431,480
228,235,431,496
227,235,447,501
227,237,455,504
227,255,445,507
227,255,450,489
229,254,455,477
227,255,439,487
227,255,438,507
229,253,433,506
228,252,439,488
227,235,457,488
227,255,453,490
228,264,457,502
227,251,436,485
227,237,431,495
228,235,431,504
229,255,447,500
227,237,430,505
227,235,456,499
229,255,447,477
227,262,458,480
228,236,438,504
229,235,438,497
229,255,431,477
229,255,447,500
227,252,439,480
228,251,434,487
228,255,446,480
227,252,432,482
227,255,458,617
227,255,458,501
227,252,443,477
228,235,438,474
227,235,431,507
228,236,457,482
227,235,431,499
230,235,446,501
227,252,459,500
228,236,438,505
228,251,431,484
227,255,429,507
227,255,445,487
228,255,466,514
227,255,457,494
228,252,461,521
228,251,453,491
227,255,438,506
228,256,452,486
230,252,430,479
227,255,438,487
228,255,453,500
228,240,458,512
229,255,447,515
229,236,449,507
231,235,460,488
228,235,444,485
229,235,430,512
227,237,431,485
227,235,432,503
227,235,451,485
228,262,435,496
227,235,448,488
227,252,431,502
227,235,432,684
227,235,431,509
227,237,431,485
228,255,455,482
227,256,446,491
227,252,461,502
227,255,446,563
227,240,432,493
227,251,457,489
227,255,446,503
227,267,436,495
228,255,431,507
227,252,431,505
227,252,430,504
227,251,449,508
227,252,465,486
228,250,433,478
227,255,465,481
227,237,457,498
227,235,471,488
227,236,436,514
227,256,445,507
229,235,431,618
227,235,431,498
228,255,430,490
229,235,446,486
228,255,446,481
227,255,432,485
227,255,431,499
229,255,447,494
227,255,460,487
227,255,436,481
227,255,440,503
228,235,431,501
228,237,432,477
228,251,430,474
227,251,461,472
227,266,445,513
230,236,457,501
227,266,437,499
227,251,432,503
227,235,434,501
228,235,431,475
227,236,454,474
227,235,432,485
227,255,431,487
227,255,430,501
229,251,446,504
229,255,431,506
229,255,431,475
227,255,457,479
227,252,443,495
227,252,453,483
227,255,439,507
230,235,432,498
229,235,441,491
230,237,456,499
228,255,443,502
227,235,444,478
227,255,432,481
227,255,430,509
227,255,446,493
228,236,431,480
228,237,446,484
227,235,453,513
229,254,461,485
227,255,461,514
227,255,462,485
228,252,446,482
229,240,442,490
227,255,431,484
227,235,430,478
227,240,432,514
227,235,430,500
228,255,446,503
229,255,430,501
227,252,443,493
228,252,432,481
229,237,457,499
227,235,466,494
228,235,431,521
228,252,431,499
229,256,434,497
227,250,462,486
227,254,457,480
227,235,432,480
227,235,431,511
228,235,429,487
228,235,430,499
228,235,430,505
227,235,431,486
229,236,466,479
228,250,429,524
228,237,433,498
227,250,456,499
228,255,436,502
229,237,429,506
227,237,431,507
228,236,466,501
228,235,445,483
227,235,448,488
227,235,438,502
229,235,431,501
227,238,463,503
228,251,453,502
228,255,444,502
229,252,430,690
227,251,432,485
228,255,477,479
228,261,462,485
229,251,456,481
227,252,457,501
227,240,449,500
229,235,431,483
227,235,430,482
227,251,437,488
227,250,445,513
228,255,444,501
227,236,434,503
228,237,454,499
227,260,431,496
227,255,431,506
228,255,431,497
228,235,456,484
228,256,445,485
228,237,447,497
228,235,466,512
228,235,436,515
228,236,430,495
228,250,437,485
227,256,465,502
228,254,453,515
227,237,430,569
227,251,457,506
227,237,432,481
228,235,432,485
227,237,431,507
227,252,446,510
229,254,429,483
229,252,459,512
228,252,454,489
227,255,455,489
227,255,438,476
227,235,438,508
227,235,438,507
227,236,436,480
228,237,442,486
228,235,453,500
229,237,432,501
228,235,432,512
228,235,461,483
227,235,433,478
227,237,466,501
228,235,432,502
227,235,445,496
229,235,438,498
228,235,430,684
227,237,432,488
229,251,467,480
227,235,432,488
228,235,445,484
227,255,446,486
229,251,462,489
228,235,449,487
228,235,446,485
229,240,430,501
229,235,458,490
228,235,454,502
228,255,445,497
227,254,460,489
228,254,446,488
227,255,431,478
229,255,452,509
228,250,442,492
227,237,431,509
227,235,438,507
229,255,439,508
228,256,467,519
229,255,431,496
227,255,446,506
228,255,445,482
227,255,431,485
227,236,431,669
227,252,433,496
227,255,438,482
230,255,456,476
230,236,451,476
231,255,439,477
227,236,454,481
229,235,431,476
228,237,431,476
228,238,431,476
229,235,455,506
227,257,452,485
228,255,431,503
228,237,431,485
228,251,467,491
227,235,452,504
228,236,431,502
227,236,431,482
227,255,456,488
228,255,453,506
227,255,438,505
228,252,430,505
228,255,438,500
227,261,453,514
229,239,452,506
230,255,430,497
229,235,457,498
227,235,446,496
227,235,435,496
227,235,443,497
229,235,447,490
228,235,431,514
227,236,430,516
230,235,432,510
229,235,446,496
228,236,456,493
228,235,447,514
227,237,440,489
227,236,465,497
227,235,460,503
227,235,453,535
227,235,448,496
227,252,460,486
227,256,443,483
227,236,432,479
228,261,431,482
227,255,431,483
227,251,458,485
227,255,432,509
228,235,437,589
229,237,433,485
227,255,437,475
228,255,456,475
227,255,445,515
229,255,432,478
227,235,460,498
228,235,431,480
229,237,446,483
227,236,457,478
227,235,466,492
228,251,474,496
227,235,451,494
228,251,431,503
230,259,432,476
230,255,431,474
227,256,452,472
227,237,453,517
227,250,431,479
229,251,433,498
228,255,457,487
227,265,453,502
227,255,438,510
230,255,437,500
228,255,458,478
228,255,456,483
227,255,451,477
230,235,431,477
227,236,432,485
229,251,438,502
227,252,433,487
227,256,462,495
228,255,457,495
227,255,453,498
228,255,431,478
230,252,432,499
228,255,431,498
227,236,459,511
227,236,458,661
227,236,431,487
231,251,431,486
228,251,439,487
229,266,463,511
230,251,448,489
227,240,432,508
227,235,467,490
227,237,452,500
227,235,447,509
230,236,452,489
227,236,431,479
229,262,432,485
227,252,439,487
227,251,454,502
227,237,453,485
228,252,457,512
228,235,447,497
227,237,439,491
227,235,467,483
227,255,432,478
227,255,430,494
229,240,431,482
227,252,446,498
228,235,430,484
229,235,454,484
227,251,454,480
227,255,437,496
227,251,440,479
228,251,438,489
227,240,432,475
229,235,430,476
227,236,431,481
228,255,432,473
228,251,431,476
227,236,432,475
228,251,456,477
228,251,431,475
229,251,432,504
227,235,432,481
227,235,431,507
227,237,431,506
230,235,431,493
228,252,445,477
227,237,463,478
227,255,435,506
227,255,472,478
227,235,461,497
227,255,431,481
227,237,431,517
227,240,431,477
229,235,458,491
227,235,451,503
229,236,439,499
228,252,439,474
228,235,430,473
228,252,431,495
228,255,437,483
228,255,431,506
227,255,444,485
228,253,431,504
228,255,455,490
227,257,459,479
230,239,455,482
227,251,431,493
