noop,ycall-registration-minimal,ycall-deregistration-minimal,fork-simple,fork-ycall,vfork-simple,vfork-ycall
30,6622,7697,43318,43987,11190,11163
29,7114,9354,39853,43414,11411,11297
29,6656,7536,42079,46877,11956,11411
30,6602,7687,45013,41790,11882,11610
30,6771,7742,39049,42880,11615,11009
29,6865,7649,38256,45140,12295,11649
29,6708,7627,44226,42105,11495,11397
29,6595,7669,38089,41950,11528,11515
30,6606,7550,40860,44223,11979,11565
29,6843,7583,40580,47178,16389,11077
29,6422,7661,45679,45893,12249,10970
29,7028,7593,37608,45351,12387,11334
29,7067,7638,39242,48887,12458,11621
29,6503,7750,41970,45267,12726,14193
29,6584,7582,43366,46075,12393,11961
30,6557,7648,38236,42257,11898,10980
31,6553,7624,38138,47023,12307,11331
29,6692,7747,42303,46193,12329,11774
30,6701,7654,43372,44238,12001,11103
29,6815,7809,38489,45160,12727,11225
29,6872,7657,41902,41852,12072,11666
30,6535,7629,38983,42083,11309,11250
29,6630,7680,43094,42315,11334,11207
29,6461,7702,39423,46856,11901,11826
29,6706,7662,45029,44659,12196,13769
30,6905,7693,39361,43411,15873,11963
30,6523,7686,43342,46077,13865,12865
29,6560,7706,46597,42444,12121,11931
29,6825,7547,38825,44570,13532,12425
29,6475,7703,39606,44476,13308,15915
29,6605,7707,47703,49061,12075,12316
30,6504,7646,39043,43694,12713,12142
29,6654,7683,38983,42556,12508,12708
30,6682,7705,39955,43929,12424,12796
30,6376,7651,47572,44165,12013,12639
30,6757,7550,38149,44130,11763,12783
30,6624,7601,38873,44526,11177,12646
29,6487,7757,40783,43438,11952,12310
30,6519,7596,42076,41675,11916,13098
30,6910,7588,40321,43909,11561,12089
29,6629,7678,38499,45815,14758,12758
29,6756,7621,43981,41398,11861,12205
30,6514,7621,41709,41766,11750,12200
29,5661,7715,39731,44410,12311,12026
29,7453,7582,42804,45872,11565,16322
28,6301,7678,38470,43815,11224,11932
30,6798,7602,38944,41916,11842,11689
30,6482,7550,38553,46602,11432,12690
