noop,vdso,syscall,ioctl
250,257,483,490
248,318,586,667
227,252,436,507
227,235,429,499
228,237,431,495
228,235,429,477
227,235,430,468
228,235,428,471
227,235,430,471
227,235,428,468
227,235,431,466
227,235,431,468
227,237,431,466
227,235,431,470
227,236,431,468
228,235,429,465
227,236,429,465
227,235,431,483
229,235,428,469
227,237,429,469
228,235,431,469
227,235,431,467
227,236,429,468
227,235,429,467
227,235,431,470
228,237,431,467
227,235,429,467
227,235,429,465
227,235,430,463
227,236,429,470
227,235,429,470
229,235,431,468
227,235,431,471
227,236,431,470
227,235,431,473
229,237,429,471
227,235,431,471
227,235,430,472
227,235,431,472
227,237,430,471
227,235,431,471
228,235,429,473
227,235,429,471
227,236,428,469
227,235,429,470
227,237,431,471
228,236,431,468
227,235,431,471
227,235,430,469
227,237,429,469
229,235,428,469
227,235,431,469
227,235,431,471
227,235,429,470
227,236,429,469
227,235,429,471
227,235,429,469
227,236,429,470
227,235,429,475
227,237,429,470
228,235,429,471
227,235,431,474
227,236,429,473
227,237,429,473
227,237,429,474
227,235,429,471
227,236,441,474
227,235,431,473
227,235,429,468
227,235,431,466
228,235,431,466
227,236,428,470
227,235,429,472
228,236,428,474
227,235,428,470
227,235,431,469
228,235,431,472
227,235,431,469
227,235,430,466
228,236,431,470
227,237,429,476
227,235,431,469
229,235,429,473
227,235,429,475
227,235,429,477
227,237,431,475
227,235,431,476
227,236,431,474
227,235,429,472
227,237,429,474
227,235,429,474
228,235,429,474
227,237,429,475
227,235,430,474
227,235,429,474
229,235,430,474
227,237,431,470
227,235,430,474
227,235,429,473
227,235,431,473
227,235,430,471
227,235,430,474
227,235,430,475
227,235,429,475
227,235,430,475
227,235,429,473
227,237,431,470
227,235,429,470
228,235,429,472
227,236,429,470
228,235,429,472
227,235,431,467
227,237,431,471
227,235,428,467
228,247,429,473
229,235,430,473
225,236,429,473
225,237,430,473
225,235,429,473
227,235,429,473
225,235,431,467
227,236,431,471
225,236,431,473
225,235,430,473
226,236,430,470
225,235,429,470
225,235,429,470
225,235,431,469
225,237,446,469
227,235,431,467
225,237,427,473
225,235,427,474
225,236,426,472
225,237,428,470
225,236,429,465
225,235,429,470
225,236,431,467
225,237,431,473
225,235,431,473
225,235,429,475
225,235,429,474
225,235,429,474
226,235,429,473
225,235,431,474
225,235,429,472
225,237,429,468
225,235,429,466
227,235,431,471
225,235,431,467
225,236,429,467
227,235,427,468
225,235,430,468
225,235,429,471
227,235,428,472
225,237,429,472
225,235,428,471
225,237,429,470
225,236,431,475
225,235,429,476
225,236,431,473
225,235,431,475
225,235,431,473
225,235,430,475
225,236,429,474
225,235,430,477
226,235,431,477
225,235,428,475
225,235,429,474
225,235,431,474
225,235,429,473
226,237,430,471
227,236,428,478
225,235,431,476
227,237,431,476
226,235,431,474
225,235,430,471
225,237,429,471
226,237,429,471
225,236,431,472
225,235,430,473
225,235,429,476
225,236,429,476
226,235,429,474
225,235,431,475
225,235,431,469
225,235,431,471
225,237,445,469
226,235,431,469
226,235,428,472
225,240,504,473
225,236,442,475
225,235,428,472
227,255,427,469
225,235,434,471
226,255,428,471
225,235,429,471
225,236,430,471
226,235,430,470
225,235,429,475
225,235,430,474
225,235,446,474
226,235,454,475
225,237,444,478
226,235,429,474
225,237,430,475
225,235,443,480
225,260,431,480
225,255,435,480
226,237,444,485
226,235,429,507
225,235,431,480
226,235,428,494
226,235,429,515
226,255,433,478
225,255,444,478
225,236,433,474
225,235,431,470
225,236,430,476
225,235,451,475
225,235,447,474
225,255,431,472
227,255,430,492
226,236,431,483
225,235,430,488
225,236,454,479
225,236,450,472
225,236,431,490
226,261,429,475
225,251,431,474
225,235,446,512
225,235,436,471
225,236,446,471
225,236,431,473
225,256,434,493
225,235,431,508
225,252,450,490
225,236,446,484
227,235,452,480
226,235,451,504
226,238,436,488
225,236,431,483
227,237,430,502
225,252,430,507
226,237,446,506
225,235,446,479
225,235,429,487
225,235,429,479
227,236,433,491
225,237,452,487
225,235,444,477
225,237,429,474
226,236,431,473
225,235,429,487
225,235,431,500
225,250,451,472
226,235,450,482
225,235,430,487
225,237,433,482
225,235,431,492
227,236,452,487
225,235,432,486
226,237,430,480
225,237,446,480
226,235,435,526
225,237,457,494
225,255,433,479
225,236,429,489
226,260,429,485
225,266,428,495
225,252,431,509
226,235,428,478
226,235,430,484
225,235,451,484
227,236,431,490
226,238,430,516
228,235,431,481
225,254,431,486
226,260,430,501
225,252,455,503
225,235,430,500
225,235,430,483
227,235,430,501
225,236,428,478
225,235,438,501
225,235,449,504
225,235,429,489
225,255,430,481
225,236,433,481
225,235,453,508
225,236,433,489
225,255,429,486
225,235,444,508
227,237,454,472
225,255,486,505
225,255,430,507
225,237,431,485
225,235,430,480
225,235,429,486
225,252,431,481
225,255,512,505
227,255,431,472
225,235,434,483
225,235,431,478
226,235,428,500
226,234,450,515
225,252,430,486
225,235,431,480
225,235,430,476
227,236,432,498
225,235,454,484
225,240,446,474
226,255,429,473
225,251,430,477
225,235,432,482
227,238,455,509
225,252,506,515
225,235,449,480
226,235,430,480
225,235,447,478
225,255,431,493
225,236,439,498
225,237,447,477
225,235,432,476
225,235,436,487
225,237,428,508
225,235,449,489
227,252,429,476
225,251,429,484
225,235,429,489
226,236,431,487
225,236,430,524
225,235,450,489
226,250,451,479
225,255,430,498
226,252,429,501
225,235,429,509
225,235,466,508
225,235,437,479
