name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",17465411,40.1086,40.1072,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",14304558,48.9171,48.9161,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",12980054,53.9029,53.9013,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",13146842,53.3002,53.2994,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",11813052,59.2209,59.2195,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",11589468,60.1744,60.1717,ns,1.32953e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",11483596,61.0341,61.0326,ns,2.62155e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",11504438,61.1443,61.1435,ns,3.92519e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",11283495,62.2106,62.2082,ns,5.14402e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",11158349,62.9703,62.9689,ns,6.35234e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",11002272,63.6761,63.6738,ns,7.53842e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",11011370,63.6225,63.6216,ns,8.80204e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",10893133,63.9933,63.9923,ns,1.00012e+09,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",2861103,252.533,252.523,ns,2.53443e+08,,,,
