name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"IOCTLFixture/ioctl_noop",8853457,79.4619,79.4577,ns,,,,,
"IOCTLFixture/ioctl_array/0",5547760,126.262,126.255,ns,0,,,,
"IOCTLFixture/ioctl_array/8",4903183,142.849,142.842,ns,5.60057e+07,,,,
"IOCTLFixture/ioctl_array/16",4877235,143.882,143.873,ns,1.11209e+08,,,,
"IOCTLFixture/ioctl_array/24",4851827,144.393,144.386,ns,1.66221e+08,,,,
"IOCTLFixture/ioctl_array/32",4844914,144.317,144.31,ns,2.21745e+08,,,,
"IOCTLFixture/ioctl_array/40",4841148,144.648,144.641,ns,2.76546e+08,,,,
"IOCTLFixture/ioctl_array/48",4817710,145.576,145.568,ns,3.29743e+08,,,,
"IOCTLFixture/ioctl_array/56",4796755,146.048,146.037,ns,3.83463e+08,,,,
"IOCTLFixture/ioctl_array/64",4801387,145.591,145.582,ns,4.39614e+08,,,,
"IOCTLFixture/ioctl_nt",1994661,351.012,350.996,ns,1.82339e+08,,,,
